cycle,capacity
1.0,1.8431955317089987
2.0,1.8396018424355423
3.0,1.8306736044962053
4.0,1.8327002069419656
5.0,1.8285288846046388
6.0,1.8212011895697924
7.0,1.8151700106433282
8.0,1.8042980520967649
9.0,1.8231002302844226
10.0,1.8121253520255494
11.0,1.8046916382117766
12.0,1.790844349786295
13.0,1.783470722841926
14.0,1.7809386125310702
15.0,1.771209039672698
16.0,1.7686303996707076
17.0,1.7536304801917124
18.0,1.7462197416415093
19.0,1.7376647337053737
20.0,1.7315166735475835
21.0,1.7085949894470602
22.0,1.711469957068211
23.0,1.7075021373272627
24.0,1.7492382064360228
25.0,1.7327697147429955
26.0,1.7222313328292376
27.0,1.711846298984729
28.0,1.699267835126687
29.0,1.6940366439243106
30.0,1.6819027078768087
31.0,1.6769770618433686
32.0,1.6655229306478936
33.0,1.6571924575832084
34.0,1.6482241555294048
35.0,1.6387701497987262
36.0,1.6276486907262062
37.0,1.62215370227252
38.0,1.6140066510467586
39.0,1.6760516154424623
40.0,1.649300642552199
41.0,1.63238299185809
42.0,1.6164159719025777
43.0,1.6109028378249377
44.0,1.5954638693695657
45.0,1.726707440085764
46.0,1.7165673917429753
47.0,1.6958235570934848
48.0,1.6777783190792557
49.0,1.6606586897774192
50.0,1.6664109274827466
51.0,1.6468336174407805
52.0,1.6257639928779952
53.0,1.6121577411874595
54.0,1.6057366823755344
55.0,1.673645314879889
56.0,1.6404348572349936
57.0,1.6132653317422077
58.0,1.5920964324686278
59.0,1.5866011820698824
60.0,1.5800766490336253
61.0,1.5641732953289167
62.0,1.555618272193922
63.0,1.5402045278637397
64.0,1.5321613015959863
65.0,1.5316232403693415
66.0,1.5222595950771978
67.0,1.5065267126851283
68.0,1.5014219556532926
69.0,1.4963534117486457
70.0,1.5334262000312422
71.0,1.523845267514426
72.0,1.5011920994261239
73.0,1.492417671450291
74.0,1.483323851940123
75.0,1.4807376792294196
76.0,1.4735077809902477
77.0,1.46801928526661
78.0,1.4580923557119019
79.0,1.4478660988891399
80.0,1.4527808777541982
81.0,1.4425356364492432
82.0,1.4392712877203313
83.0,1.4286475681888218
84.0,1.4249026750004896
85.0,1.4698115324524124
86.0,1.4525819651050202
87.0,1.442834198908794
88.0,1.428376058807949
89.0,1.4154547844370715
90.0,1.454576670077708
91.0,1.4283179548274056
92.0,1.4197026883204058
93.0,1.4155606630306516
94.0,1.405680035419228
95.0,1.4084461071166137
96.0,1.3968547782872414
97.0,1.3935670371440676
98.0,1.3893644292809475
99.0,1.3785651415666713
100.0,1.384901110085747
101.0,1.3703251814242443
102.0,1.3733464385229082
103.0,1.3679487285504814
104.0,1.3567141087089647
105.0,1.4604310209194575
106.0,1.4500998937104097
107.0,1.4381406901824496
108.0,1.4283681980964316
109.0,1.4147874517552432
110.0,1.413889163393182
111.0,1.3989331662177225
112.0,1.3953322584033976
113.0,1.390046129540245
114.0,1.3860271454209647
115.0,1.388215260193751
116.0,1.3761826562394497
117.0,1.3647168898640165
118.0,1.3589854739373584
119.0,1.3462308764008801
120.0,1.4268427818454643
121.0,1.4064481483279663
122.0,1.3934907492075153
123.0,1.3882493512249316
124.0,1.3701878338420928
125.0,1.3796951665608619
126.0,1.3686586323935683
127.0,1.3627371779096438
128.0,1.3634051133928073
129.0,1.3518646035305233
130.0,1.3547969729652622
131.0,1.341051440640485
